2026-03-11 15:07:36 |WARN  |not.a.Spring.bean-2041 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-11 15:07:38 |WARN  |not.a.Spring.bean-2042 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-11 15:07:40 |WARN  |not.a.Spring.bean-2043 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-11 15:07:42 |WARN  |not.a.Spring.bean-2044 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-11 15:07:44 |WARN  |not.a.Spring.bean-2045 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-11 15:07:46 |WARN  |not.a.Spring.bean-2046 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-11 15:07:48 |WARN  |not.a.Spring.bean-2047 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-11 15:07:51 |WARN  |not.a.Spring.bean-2048 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-11 15:07:53 |WARN  |not.a.Spring.bean-2049 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-11 15:07:55 |WARN  |not.a.Spring.bean-2050 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-11 15:07:57 |WARN  |not.a.Spring.bean-2051 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2026-03-11 15:07:59 |WARN  |not.a.Spring.bean-2052 |SimpleMessageListenerContainer.java:1593 |org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer |Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
